id,priority,name_en,name_ko,ra_deg,dec_deg,mag,dist_ly,spect,size_arcmin,con,type
dso:M31,1,Andromeda Galaxy,안드로메다은하,10.68479,41.26906,3.44,544,,177.83x69.66,And,G (galaxy)
dso:M32,3,,M32,10.67429,40.86528,8.13,,,7.74x4.86,And,G (galaxy)
dso:M110,3,,M110,10.092,41.68531,8.15,,,16.22x9.59,And,G (galaxy)
dso:M33,2,Triangulum Galaxy,삼각형자리은하,23.46204,30.66022,5.79,,,62.09x36.73,Tri,G (galaxy)
dso:M42,1,Orion Nebula,오리온대성운,83.81867,-5.38967,4,,,90x60,Ori,Cl+N (openCluster)
dso:M43,3,De Mairan's Nebula,드 메랑 성운,83.88075,-5.26747,9,,,20x15,Ori,HII (nebula)
dso:M45,1,Pleiades,플레이아데스성단,56.86917,24.10528,1.2,443,,150x150,Tau,OCl (openCluster)
dso:M44,1,Beehive Cluster,프레세페성단,130.0925,19.67206,3.1,607,,108.6,Cnc,OCl (openCluster)
dso:M13,1,Hercules Globular Cluster,헤르쿨레스 대성단,250.42346,36.46131,5.8,40118,,16.5,Her,GCl (globularCluster)
dso:M92,3,,M92,259.28029,43.13653,6.52,58036,,14.4,Her,GCl (globularCluster)
dso:M3,2,,M3,205.54679,28.37544,6.39,133127,,16.2,CVn,GCl (globularCluster)
dso:M5,2,,M5,229.64063,2.08269,5.95,28636,,15,Se1,GCl (globularCluster)
dso:M57,1,Ring Nebula,고리성운,283.39588,33.02858,8.8,2567,,1.27,Lyr,PN (planetaryNebula)
dso:M27,1,Dumbbell Nebula,아령성운,299.90158,22.72103,7.4,1227,,6.7,Vul,PN (planetaryNebula)
dso:M51,2,Whirlpool Galaxy,소용돌이은하,202.46962,47.19517,8.36,418,,13.71x11.67,CVn,G (galaxy)
dso:M81,2,Bode's Galaxy,보데은하,148.88821,69.06531,6.92,,,21.63x11.25,UMa,G (galaxy)
dso:M82,2,Cigar Galaxy,시가은하,148.96971,69.67939,8.3,,,10.99x5.11,UMa,G (galaxy)
dso:M101,3,Pinwheel Galaxy,바람개비은하,210.80225,54.34894,7.9,,,23.99x23.07,UMa,G (galaxy)
dso:M104,2,Sombrero Galaxy,솜브레로은하,189.99763,-11.62306,8.59,,,8.45x4.91,Vir,G (galaxy)
dso:M8,1,Lagoon Nebula,라군성운,270.92196,-24.38017,5.8,,,45x30,Sgr,Neb (nebula)
dso:M20,2,Trifid Nebula,삼렬성운,270.67546,-22.97189,8.5,4129,,28x28,Sgr,Neb (nebula)
dso:M17,2,Omega Nebula,오메가성운,275.19629,-16.17153,7,5436,,12.6,Sgr,Neb (nebula)
dso:M16,2,Eagle Nebula,독수리성운,274.70071,-13.80722,6,5763,,120x25,Se2,Neb (nebula)
dso:M22,2,Sagittarius Cluster,궁수자리 성단,279.10083,-23.90342,6.17,12359,,12.6,Sgr,GCl (globularCluster)
dso:M11,2,Wild Duck Cluster,야생오리성단,282.77496,-6.27003,5.8,7638,,9,Sct,OCl (openCluster)
dso:M6,2,Butterfly Cluster,나비성단,265.08646,-32.25417,4.2,1508,,15.6,Sco,OCl (openCluster)
dso:M7,2,Ptolemy Cluster,프톨레마이오스성단,268.46325,-34.79283,3.3,914,,22.2,Sco,OCl (openCluster)
